,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
197,Chevrolet Cruze LT,2012,349000.0,44500.0,Diesel,Dealer,Manual,Second Owner,Chevrolet
198,Chevrolet Cruze LT,2012,380000.0,90000.0,Diesel,Individual,Manual,Fourth & Above Owner,Chevrolet
199,Chevrolet Cruze LTZ,2010,240000.0,81925.0,Diesel,Individual,Manual,First Owner,Chevrolet
200,Chevrolet Cruze LTZ,2010,320000.0,60000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
201,Chevrolet Cruze LTZ,2010,330000.0,124000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
202,Chevrolet Cruze LTZ,2011,335000.0,90000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
203,Chevrolet Cruze LTZ,2011,345000.0,65500.0,Diesel,Individual,Manual,First Owner,Chevrolet
204,Chevrolet Cruze LTZ,2012,400000.0,40000.0,Diesel,Individual,Manual,First Owner,Chevrolet
205,Chevrolet Cruze LTZ,2014,550000.0,52000.0,Diesel,Dealer,Manual,First Owner,Chevrolet
206,Chevrolet Cruze LTZ,2015,1000000.0,3600.0,Diesel,Dealer,Manual,First Owner,Chevrolet
208,Chevrolet Cruze LTZ AT,2012,359000.0,120000.0,Diesel,Individual,Automatic,Third Owner,Chevrolet
209,Chevrolet Cruze LTZ AT,2012,490000.0,42000.0,Diesel,Dealer,Automatic,First Owner,Chevrolet
210,Chevrolet Cruze LTZ AT,2015,650000.0,50000.0,Diesel,Individual,Automatic,First Owner,Chevrolet
212,Chevrolet Cruze LTZ AT,2017,950000.0,73000.0,Diesel,Dealer,Automatic,First Owner,Chevrolet
213,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000.0,20000.0,Diesel,Dealer,Manual,First Owner,Chevrolet
215,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000.0,175000.0,Diesel,Individual,Manual,First Owner,Chevrolet
216,Chevrolet Enjoy TCDi LS 8 Seater,2014,330000.0,200000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
217,Chevrolet Enjoy TCDi LT 7 Seater,2014,300000.0,146000.0,Diesel,Individual,Manual,First Owner,Chevrolet
218,Chevrolet Enjoy TCDi LT 7 Seater,2014,325000.0,71014.0,Diesel,Dealer,Manual,First Owner,Chevrolet
220,Chevrolet Enjoy TCDi LT 8 Seater,2014,350000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet
221,Chevrolet Enjoy TCDi LT 8 Seater,2015,500000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet
222,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000.0,33000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
223,Chevrolet Optra 1.6,2006,120000.0,79000.0,Petrol,Dealer,Manual,Fourth & Above Owner,Chevrolet
224,Chevrolet Optra 1.6 LS,2005,60000.0,126000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
225,Chevrolet Optra Magnum 2.0 LS,2009,150000.0,66000.0,Diesel,Individual,Manual,First Owner,Chevrolet
226,Chevrolet Optra Magnum 2.0 LS,2011,195000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet
228,Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet
229,Chevrolet Optra Magnum 2.0 LT,2011,170000.0,150000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
230,Chevrolet Optra Magnum 2.0 LT,2012,300000.0,25000.0,Diesel,Individual,Manual,First Owner,Chevrolet
232,Chevrolet Sail 1.2 Base,2014,170000.0,100000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
233,Chevrolet Sail 1.2 Base,2014,290000.0,25000.0,Petrol,Individual,Manual,First Owner,Chevrolet
234,Chevrolet Sail 1.2 Base,2015,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Chevrolet
237,Chevrolet Sail 1.2 LT ABS,2014,350000.0,30000.0,Petrol,Individual,Manual,First Owner,Chevrolet
239,Chevrolet Sail 1.3 LS,2013,290000.0,56000.0,Diesel,Dealer,Manual,First Owner,Chevrolet
240,Chevrolet Sail Hatchback 1.2 LS,2015,280000.0,22255.0,Petrol,Individual,Manual,First Owner,Chevrolet
241,Chevrolet Sail Hatchback 1.2 LS,2016,250000.0,30000.0,Petrol,Individual,Manual,First Owner,Chevrolet
243,Chevrolet Sail Hatchback 1.3 TCDi,2015,281000.0,40000.0,Diesel,Individual,Manual,First Owner,Chevrolet
244,Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,250000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet
245,Chevrolet Sail Hatchback LS ABS,2013,200000.0,120000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
246,Chevrolet Sail Hatchback LT ABS,2013,225000.0,80000.0,Diesel,Individual,Manual,First Owner,Chevrolet
249,Chevrolet Sail LS ABS,2014,375000.0,40000.0,Diesel,Individual,Manual,First Owner,Chevrolet
250,Chevrolet Spark 1.0,2008,120000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
251,Chevrolet Spark 1.0,2009,125000.0,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet
252,Chevrolet Spark 1.0,2010,78692.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
253,Chevrolet Spark 1.0,2010,80000.0,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet
254,Chevrolet Spark 1.0 LS,2008,51786.64,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet
255,Chevrolet Spark 1.0 LS,2008,75000.0,35000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
256,Chevrolet Spark 1.0 LS,2009,70000.0,60000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
257,Chevrolet Spark 1.0 LS,2009,135000.0,90000.0,Petrol,Individual,Manual,First Owner,Chevrolet
258,Chevrolet Spark 1.0 LS,2009,170000.0,44800.0,Petrol,Individual,Manual,Second Owner,Chevrolet
260,Chevrolet Spark 1.0 LS,2010,175000.0,45000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
262,Chevrolet Spark 1.0 LS,2011,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
263,Chevrolet Spark 1.0 LS,2011,125000.0,60000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
264,Chevrolet Spark 1.0 LS,2011,140000.0,60000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
265,Chevrolet Spark 1.0 LS,2012,130000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet
267,Chevrolet Spark 1.0 LS,2012,134000.0,90000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
268,Chevrolet Spark 1.0 LS,2014,220000.0,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet
269,Chevrolet Spark 1.0 LT,2009,70000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet
270,Chevrolet Spark 1.0 LT,2010,180000.0,15000.0,Petrol,Individual,Manual,First Owner,Chevrolet
271,Chevrolet Spark 1.0 LT,2011,130000.0,68519.0,Petrol,Dealer,Manual,First Owner,Chevrolet
272,Chevrolet Spark 1.0 LT,2011,165000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet
273,Chevrolet Spark 1.0 LT,2012,125000.0,28000.0,Petrol,Individual,Manual,First Owner,Chevrolet
275,Chevrolet Spark 1.0 LT,2013,240000.0,10000.0,Petrol,Individual,Manual,First Owner,Chevrolet
276,Chevrolet Spark 1.0 LT BS3,2013,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
277,Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2013,165000.0,53000.0,Petrol,Dealer,Manual,First Owner,Chevrolet
278,Chevrolet Spark 1.0 PS,2010,110000.0,73000.0,Petrol,Individual,Manual,First Owner,Chevrolet
279,Chevrolet Tavera LS B3 7 Seats BSII,2005,150000.0,150000.0,Diesel,Individual,Manual,First Owner,Chevrolet
280,Chevrolet Tavera LT L1 7 Seats BSIII,2006,140000.0,200000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
281,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000.0,120000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
283,Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet
284,Chevrolet Tavera Neo 3 10 Seats BSIV,2007,160000.0,120000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
285,Chevrolet Tavera Neo 3 10 Seats BSIV,2010,300000.0,120000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
286,Chevrolet Tavera Neo 3 9 Str BSIII,2016,500000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet
287,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet
288,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,470000.0,100000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
289,Chevrolet Tavera Neo 3 Max 9 Str BSIII,2014,400000.0,120000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
290,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000.0,223158.4,Diesel,Individual,Manual,Second Owner,Chevrolet
291,Daewoo Matiz SD,2002,60000.0,50000.0,Petrol,Individual,Manual,First Owner,Daewoo
292,Datsun GO A,2015,250000.0,40000.0,Petrol,Individual,Manual,Second Owner,Datsun
293,Datsun GO Plus A,2015,315000.0,45000.0,Petrol,Individual,Manual,Second Owner,Datsun
295,Datsun GO Plus A Option Petrol,2018,450000.0,10000.0,Petrol,Individual,Manual,Second Owner,Datsun
296,Datsun GO Plus Remix Limited Edition,2016,300000.0,35000.0,Petrol,Individual,Manual,First Owner,Datsun
297,Datsun GO Plus T,2017,350000.0,10171.0,Petrol,Dealer,Manual,First Owner,Datsun
299,Datsun GO Plus T BSIV,2015,380000.0,25000.0,Petrol,Individual,Manual,First Owner,Datsun
300,Datsun GO Plus T BSIV,2018,400000.0,4400.0,Petrol,Individual,Manual,Second Owner,Datsun
301,Datsun GO Plus T Option,2017,350000.0,80000.0,Petrol,Individual,Manual,First Owner,Datsun
302,Datsun GO Plus T Option BSIV,2015,295000.0,21000.0,Petrol,Individual,Manual,First Owner,Datsun
303,Datsun GO Plus T Option BSIV,2017,375000.0,20000.0,Petrol,Individual,Manual,Second Owner,Datsun
304,Datsun GO Plus T Option BSIV,2018,270000.0,19000.0,Petrol,Individual,Manual,Second Owner,Datsun
305,Datsun GO Plus T Option Petrol,2018,434999.0,10000.0,Petrol,Individual,Manual,First Owner,Datsun
307,Datsun GO T BSIV,2014,250000.0,58000.0,Petrol,Individual,Manual,First Owner,Datsun
308,Datsun GO T BSIV,2014,280000.0,40000.0,Petrol,Individual,Manual,First Owner,Datsun
309,Datsun GO T Option BSIV,2015,210000.0,25000.0,Petrol,Individual,Manual,First Owner,Datsun
310,Datsun GO T Petrol,2015,225000.0,92198.0,Petrol,Dealer,Manual,Second Owner,Datsun
311,Datsun GO T Petrol,2015,310000.0,32686.0,Petrol,Dealer,Manual,First Owner,Datsun
313,Datsun RediGO 1.0 S,2017,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,Datsun
315,Datsun RediGO 1.0 S,2017,250000.0,15000.0,Petrol,Individual,Manual,First Owner,Datsun
316,Datsun RediGO 1.0 T Option,2018,375000.0,2769.0,Petrol,Dealer,Manual,First Owner,Datsun
317,Datsun RediGO AMT 1.0 S,2018,300000.0,25000.0,Petrol,Individual,Automatic,First Owner,Datsun
318,Datsun redi-GO AMT 1.0 T Option,2018,290000.0,15000.0,Petrol,Dealer,Automatic,First Owner,Datsun
319,Datsun RediGO S,2016,270000.0,22000.0,Petrol,Individual,Manual,First Owner,Datsun
321,Datsun RediGO SV 1.0,2019,350000.0,1744.08,Petrol,Individual,Manual,First Owner,Datsun
322,Datsun RediGO T Option,2016,229999.0,37500.0,Petrol,Individual,Manual,Second Owner,Datsun
323,Datsun RediGO T Option,2017,200000.0,30000.0,Petrol,Individual,Manual,First Owner,Datsun
324,Datsun RediGO T Option,2017,210000.0,50000.0,Petrol,Individual,Manual,First Owner,Datsun
325,Datsun RediGO T Option,2017,220000.0,40000.0,Petrol,Individual,Manual,First Owner,Datsun
326,Datsun RediGO T Option,2017,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun
329,Fiat 500 Lounge,2008,250999.0,110000.0,Diesel,Individual,Manual,First Owner,Fiat
330,Fiat Avventura MULTIJET Emotion,2015,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,Fiat
